county,year,area_ha,production_ha,population,yield_per_hectare,production_per_person,rainfall_mm,temperature_c
Taita_Taveta,2024,11426,13176,340671.0,1.1531594608786977,0.03867661174564316,62.392500000000005,23.898333333333337
Tana_River,2020,5666,8222,,1.4511118955171196,,48.458333333333336,27.421666666666667
Tana_River,2021,4251,958,,0.225358739120207,,48.458333333333336,27.421666666666667
Tana_River,2022,6673,8257,,1.237374494230481,,48.458333333333336,27.421666666666667
Tana_River,2023,5734,5879,,1.0252877572375305,,48.458333333333336,27.421666666666667
Tana_River,2024,5063,14658,,2.8951214694844953,,48.458333333333336,27.421666666666667
Tharaka_Nithi,2020,18591,41601,393177.0,2.2376956591899306,0.1058073081589208,97.0025,22.695000000000004
Tharaka_Nithi,2021,25420,30352,393177.0,1.1940204563335957,0.07719678414556294,97.0025,22.695000000000004
Tharaka_Nithi,2022,23640,20668,393177.0,0.8742808798646362,0.052566655730116464,97.0025,22.695000000000004
Tharaka_Nithi,2023,26617,33808,393177.0,1.2701656835856783,0.0859867184499602,97.0025,22.695000000000004
Tharaka_Nithi,2024,37588,55426,393177.0,1.4745663509630733,0.14096958876027846,97.0025,22.695000000000004
Trans_Nzoia,2020,104850,489056,,4.664339532665713,,108.85333333333334,18.104166666666668
Trans_Nzoia,2021,107090,407913,,3.8090671397889624,,108.85333333333334,18.104166666666668
Trans_Nzoia,2022,95140,339990,,3.5735757830565484,,108.85333333333334,18.104166666666668
Trans_Nzoia,2023,125065,448011,,3.582225242873706,,108.85333333333334,18.104166666666668
Trans_Nzoia,2024,124976,423156,,3.3858980924337474,,108.85333333333334,18.104166666666668
Turkana,2020,2475,2582,926976.0,1.0432323232323233,0.0027854011322838994,42.5325,27.853333333333335
Turkana,2021,1295,1154,926976.0,0.8911196911196911,0.0012449081745374206,42.5325,27.853333333333335
Turkana,2022,3408,452,926976.0,0.13262910798122066,0.00048760701463684066,42.5325,27.853333333333335
Turkana,2023,1750,1331,926976.0,0.7605714285714286,0.001435851629384148,42.5325,27.853333333333335
Turkana,2024,3704,4217,926976.0,1.138498920086393,0.004549200842308755,42.5325,27.853333333333335
Uasin Gishu,2020,106999,456574,1163186.0,4.267086608286059,0.39252019883320466,,
Uasin Gishu,2021,104645,385400,1163186.0,3.6829279946485736,0.3313313605906536,,
Uasin Gishu,2022,102820,359870,1163186.0,3.5,0.3093830221477906,,
Uasin Gishu,2023,117923,476538,1163186.0,4.041094612586179,0.40968340402996595,,
Uasin Gishu,2024,107009,483211,1163186.0,4.515610836471699,0.41542023373733866,,
Vihiga,2020,25134,30566,590013.0,1.2161215882867829,0.051805638180853646,157.51500000000001,21.719166666666666
Vihiga,2021,22340,24191,590013.0,1.0828558639212176,0.04100079150798372,157.51500000000001,21.719166666666666
Vihiga,2022,26142,25335,590013.0,0.9691301354142758,0.042939731836417167,157.51500000000001,21.719166666666666
Vihiga,2023,24921,29659,590013.0,1.1901207816700774,0.05026838391696454,157.51500000000001,21.719166666666666
Vihiga,2024,24771,34171,590013.0,1.3794760001614792,0.05791567304449224,157.51500000000001,21.719166666666666
Wajir,2020,98,39,781263.0,0.3979591836734694,4.9919169345022096e-05,34.329166666666666,27.7925
Wajir,2021,54,19,781263.0,0.35185185185185186,2.431959532193384e-05,34.329166666666666,27.7925
Wajir,2022,72,25,781263.0,0.3472222222222222,3.199946752886032e-05,34.329166666666666,27.7925
Wajir,2023,132,34,781263.0,0.25757575757575757,4.3519275839250036e-05,34.329166666666666,27.7925
Wajir,2024,278,216,781263.0,0.7769784172661871,0.00027647539944935314,34.329166666666666,27.7925
West_Pokot,2020,32354,23400,,0.7232490573035791,,,
West_Pokot,2021,34911,53193,,1.5236744865515166,,,
West_Pokot,2022,34780,52650,,1.5138010350776308,,,
West_Pokot,2023,49097,96010,,1.9555166303440128,,,
West_Pokot,2024,56403,96984,,1.7194830062230733,,,
"Migori                                               78,222            95,966            95,034             99,598                85,628            92,441        78,567             101,474        88,449           148,919",2020,78222,95966,,1.2268415535271406,,,
"Migori                                               78,222            95,966            95,034             99,598                85,628            92,441        78,567             101,474        88,449           148,920",2021,95034,99598,,1.0480249173979839,,,
"Migori                                               78,222            95,966            95,034             99,598                85,628            92,441        78,567             101,474        88,449           148,921",2022,85628,92441,,1.0795650955294998,,,
"Migori                                               78,222            95,966            95,034             99,598                85,628            92,441        78,567             101,474        88,449           148,922",2023,78567,101474,,1.2915600697493859,,,
"Migori                                               78,222            95,966            95,034             99,598                85,628            92,441        78,567             101,474        88,449           148,923",2024,88449,148919,,1.6836708159504348,,,
