county,year,area_ha,production_ha,population,rainfall_mm,temperature_c,yield_per_hectare,production_per_person,log_production,rainfall_efficiency
Kwale,2020,56576,34061,866820.0,72.38250000000001,25.785833333333333,0.6020397341628959,0.03929420179506703,10.435937672398781,470.5695437433081
Kwale,2021,56128,33815,866820.0,72.38250000000001,25.785833333333333,0.6024622291904219,0.03901040585127247,10.428689342246626,467.17093220046274
Kwale,2022,23200,45428,866820.0,72.38250000000001,25.785833333333333,1.9581034482758621,0.052407650954061975,10.723905946624765,627.6102649120988
Kwale,2023,60518,61037,866820.0,72.38250000000001,25.785833333333333,1.0085759608711458,0.07041484968044115,11.019251900021803,843.2563119538562
Kwale,2024,58116,44127,866820.0,72.38250000000001,25.785833333333333,0.7592917613049762,0.05090676264968506,10.694849780593028,609.6363071184333
Laikipia,2020,26470,39422,518560.0,88.44666666666667,17.790833333333335,1.4893086513033622,0.07602206109225548,10.582104681311748,445.7149317856335
Laikipia,2021,24932,34520,518560.0,88.44666666666667,17.790833333333335,1.3845660195732392,0.06656896019746991,10.449323113491568,390.2917012135373
Laikipia,2022,25055,7288,518560.0,88.44666666666667,17.790833333333335,0.2908800638595091,0.014054304227090404,8.894121641382213,82.39993970000754
Laikipia,2023,29596,44264,518560.0,88.44666666666667,17.790833333333335,1.4956075145289904,0.08535945695772909,10.697949576045149,500.45978744252653
Laikipia,2024,29240,51372,518560.0,88.44666666666667,17.790833333333335,1.756908344733242,0.09906664609688368,10.846868021600375,580.8246023969247
Lamu,2020,37500,28325,143920.0,62.24333333333333,27.606666666666666,0.7553333333333333,0.1968107281823235,10.251535389774341,455.0688159374498
Lamu,2021,16820,4772,143920.0,62.24333333333333,27.606666666666666,0.28370986920332936,0.033157309616453585,8.470730317005897,76.66684517752905
Lamu,2022,39502,59102,143920.0,62.24333333333333,27.606666666666666,1.496177408738798,0.4106586992773763,10.987036963527192,949.5314089862368
Lamu,2023,45800,74318,143920.0,62.24333333333333,27.606666666666666,1.6226637554585153,0.516384102279044,11.216121918068886,1193.991324372088
Lamu,2024,23154,48436,143920.0,62.24333333333333,27.606666666666666,2.091906366070657,0.33654808226792665,10.788019263461779,778.1716917474429
Machakos,2020,133795,40927,1421932.0,71.98416666666667,21.124166666666667,0.30589334429537723,0.028782670338665984,10.61956970437857,568.5555851402507
Machakos,2021,144201,59321,1421932.0,71.98416666666667,21.124166666666667,0.41137717491556924,0.04171859132504226,10.990735511125187,824.0839999536935
Machakos,2022,134048,22597,1421932.0,71.98416666666667,21.124166666666667,0.16857394366197184,0.015891758536976452,10.025616685769192,313.91625473194335
Machakos,2023,138830,175493,1421932.0,71.98416666666667,21.124166666666667,1.2640855722826478,0.12341870075362253,12.075360133269445,2437.9388986003864
Machakos,2024,158761,91910,1421932.0,71.98416666666667,21.124166666666667,0.578920515743791,0.06463740882123759,11.428575996501866,1276.8085574373995
Makueni,2020,146562,120000,987653.0,55.178333333333335,22.74416666666667,0.8187661194579768,0.12150016250646735,11.695255355062795,2174.7666656598303
Makueni,2021,150726,88013,987653.0,55.178333333333335,22.74416666666667,0.5839271260432839,0.08911328168901426,11.385251171715817,1595.0644878726553
Makueni,2022,132910,83018,987653.0,55.178333333333335,22.74416666666667,0.6246181626664661,0.08405583742468256,11.326824776244193,1504.5398254145648
Makueni,2023,136912,81363,987653.0,55.178333333333335,22.74416666666667,0.5942722332593199,0.08238014768344752,11.306688193722378,1474.5461684840063
Makueni,2024,155337,83506,987653.0,55.178333333333335,22.74416666666667,0.5375795850312546,0.08454993808554219,11.332685739660542,1513.3838765215814
Mandera,2020,3708,1847,867457.0,36.100833333333334,26.88,0.4981121898597627,0.002129212168441779,7.521859252201629,51.162253872255945
Mandera,2021,3510,1818,867457.0,36.100833333333334,26.88,0.517948717948718,0.002095781116527966,7.506042178518122,50.358948316059184
Mandera,2022,3209,2160,867457.0,36.100833333333334,26.88,0.6731068868806481,0.0024900369701322373,7.6783263565068856,59.8324138408624
Mandera,2023,3209,2738,867457.0,36.100833333333334,26.88,0.8532253038329698,0.0031563524186213263,7.915348169263078,75.84312458161169
Mandera,2024,2828,3113,867457.0,36.100833333333334,26.88,1.1007779349363507,0.003588650503713729,8.043663352393944,86.23069642898363
Marsabit,2020,1023,293,459785.0,42.715,26.945833333333336,0.28641251221896386,0.0006372543688898072,5.683579767338681,6.8594170666042364
Marsabit,2021,658,46,459785.0,42.715,26.945833333333336,0.06990881458966565,0.00010004676098611307,3.8501476017100584,1.0769050684771158
Marsabit,2022,591,3,459785.0,42.715,26.945833333333336,0.005076142131979695,6.5247887599638966e-06,1.3862943611198906,0.07023293924850754
Marsabit,2023,2184,337,459785.0,42.715,26.945833333333336,0.1543040293040293,0.000732951270702611,5.823045895483019,7.889500175582348
Marsabit,2024,1830,1089,459785.0,42.715,26.945833333333336,0.5950819672131148,0.0023684983198668944,6.993932975223189,25.49455694720824
